chemical_id	chemical_name	pass_rows	unique_pairs	seed_groups	independent_seed_groups	seed_groups_per_1000_pass_rows	seed_groups_per_1000_pairs	seed_group_rank
C511295	2,2',4,4'-tetrabromodiphenyl ether	1731	1630	55	49	31.773541	33.742331	1
D015655	1-Methyl-4-phenylpyridinium	1187	1122	26	23	21.90396	23.172906	2
C009407	2,5,2',5'-tetrachlorobiphenyl	451	428	12	0	26.607539	28.037383	3
C085911	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	97	80	5	5	51.546392	62.5	4
C014024	2,4,5,2',4',5'-hexachlorobiphenyl	241	229	4	2	16.59751	17.467249	5
C049584	2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine	182	176	4	3	21.978022	22.727273	6
C587734	2,3,5-trichloro-6-phenyl-(1,4)benzoquinone	304	290	3	0	9.868421	10.344828	7
C012796	2-butenal	177	175	2	0	11.299435	11.428571	8
C511621	2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide	154	152	2	2	12.987013	13.157895	9
C031278	2-chloroethyl ethyl sulfide	65	51	2	2	30.769231	39.215686	10
C006718	1,12-benzoperylene	58	51	2	1	34.482759	39.215686	11
C495626	14-deoxy-11,12-didehydroandrographolide	172	171	1	0	5.813953	5.847953	12
C026486	1,2,5,6-dibenzanthracene	47	46	1	1	21.276596	21.73913	13
C097240	15-deoxy-delta(12,14)-prostaglandin J2	39	37	1	1	25.641026	27.027027	14
C532162	2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine	33	30	1	1	30.30303	33.333333	15
D015073	2-Acetylaminofluorene	19	16	1	1	52.631579	62.5	16
C486182	2,3-bis(4-hydroxyphenyl)-propionitrile	16	12	1	0	62.5	83.333333	17
C521487	10-nitro-oleic acid	16	12	1	1	62.5	83.333333	18
C404910	2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane	15	13	1	1	66.666667	76.923077	19
C545227	2,3-dihydroquinolin-4(1H)-one	14	11	1	0	71.428571	90.909091	20
C562254	2'-(4-chlorophenyl)-3-(4-chlorophenylidene)-5,10-dimethyl-12-methylene-decahydro-1,2-(1',3'-dioxocyclopenta(c))azuleno(4,5-b)furan-4,11-dione	11	10	1	0	90.909091	100.0	21
C517232	1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	9	7	1	0	111.111111	142.857143	22
C044565	2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide	8	5	1	1	125.0	200.0	23
C078765	2,3,5-(triglutathion-S-yl)hydroquinone	8	5	1	0	125.0	200.0	24
C028474	1,4-bis(2-(3,5-dichloropyridyloxy))benzene	7	4	1	1	142.857143	250.0	25
C530171	2,2,2,-trichloro-1-(3,4-dichlorophenyl)-ethylacetate	7	6	1	0	142.857143	166.666667	26
C106746	1,5-benzothiazepine	4	3	1	0	250.0	333.333333	27
C042509	18-hydroxydeoxycorticosterone	3	2	1	0	333.333333	500.0	28
C004554	2,4,6-tribromophenol	870	869	0	0	0.0	0.0	29
C477694	2,2',4,4',5-brominated diphenyl ether	399	397	0	0	0.0	0.0	30
C032668	1-nitropyrene	235	227	0	0	0.0	0.0	31
D015084	2,4-Dichlorophenoxyacetic Acid	184	182	0	0	0.0	0.0	32
C063002	2,3-dimethoxy-1,4-naphthoquinone	153	151	0	0	0.0	0.0	33
C507616	2-amino-14,16-dimethyloctadecan-3-ol	135	135	0	0	0.0	0.0	34
C036990	2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline	129	127	0	0	0.0	0.0	35
C046760	15-acetyldeoxynivalenol	105	105	0	0	0.0	0.0	36
C582717	2,6-dichloro-(1,4)benzoquinone	86	84	0	0	0.0	0.0	37
C003898	2-anisidine	60	60	0	0	0.0	0.0	38
C093973	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	60	52	0	0	0.0	0.0	39
C036423	1-aminomethylphosphonic acid	53	50	0	0	0.0	0.0	40
C025205	1,10-phenanthroline	52	51	0	0	0.0	0.0	41
C076996	27-hydroxycholesterol	51	45	0	0	0.0	0.0	42
C017822	2-amino-9H-pyrido(2,3-b)indole	47	47	0	0	0.0	0.0	43
C029497	2,3-bis(3'-hydroxybenzyl)butyrolactone	46	46	0	0	0.0	0.0	44
C020175	16 alpha-ethyl-21-hydroxy-19-nor-4-pregnene-3,20-dione	42	41	0	0	0.0	0.0	45
C569107	1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one	41	35	0	0	0.0	0.0	46
C003585	22-hydroxycholesterol	35	35	0	0	0.0	0.0	47
C044755	1-methyl-4-phenyl-2,3-dihydropyridinium	35	31	0	0	0.0	0.0	48
C033146	1-hydroxypyrene	31	31	0	0	0.0	0.0	49
C013186	2,3-pentanedione	28	28	0	0	0.0	0.0	50
C577942	2-methoxy-N-(3-methyl-2-oxo-1,2,3,4-tetrahydroquinazolin-6-yl)benzenesulfonamide	28	28	0	0	0.0	0.0	51
D000077584	2-Methoxyestradiol	28	23	0	0	0.0	0.0	52
C007997	25-hydroxycholesterol	25	23	0	0	0.0	0.0	53
C107946	2,7-dihydroxynaphthalene	25	25	0	0	0.0	0.0	54
C072581	16-hydroxycleroda-3,13(14)-dien-15,16-olide	24	23	0	0	0.0	0.0	55
C009828	2,4,5,2',5'-pentachlorobiphenyl	23	17	0	0	0.0	0.0	56
C477819	15-deoxyprostaglandin J2	23	16	0	0	0.0	0.0	57
C440850	2,4,3',5'-tetramethoxystilbene	22	20	0	0	0.0	0.0	58
C018535	2-ethylhexyldiphenylphosphate	21	21	0	0	0.0	0.0	59
C547124	2,3-dibromopropyl-2,4,6-tribromophenyl ether	19	14	0	0	0.0	0.0	60
C576882	1-(2-trifluoromethoxyphenyl)-2-nitroethanone	19	19	0	0	0.0	0.0	61
C015802	2,6-dichloro-4-nitrophenol	18	18	0	0	0.0	0.0	62
C517943	1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone	18	16	0	0	0.0	0.0	63
C548651	2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	18	13	0	0	0.0	0.0	64
C029216	2-amino-3-methylimidazo(4,5-f)quinoline	17	17	0	0	0.0	0.0	65
C033489	1,3-dichloro-2-propanol	17	13	0	0	0.0	0.0	66
C506325	1-hydroxy-1-norresistomycin	17	11	0	0	0.0	0.0	67
D015058	1-Naphthylisothiocyanate	17	17	0	0	0.0	0.0	68
C000594525	2-methoxy-6-undecyl-1,4-benzoquinone	16	16	0	0	0.0	0.0	69
C015262	1,6-hexamethylene diisocyanate	15	15	0	0	0.0	0.0	70
C457499	2-chloro-5-nitrobenzanilide	15	11	0	0	0.0	0.0	71
C471674	10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone	15	15	0	0	0.0	0.0	72
C546460	2-amino-3-methyl-3H-imidazo(4,5-f)quinoline	15	12	0	0	0.0	0.0	73
C074153	1,4-phenylenebis(methylene)selenocyanate	14	13	0	0	0.0	0.0	74
C120227	2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide	14	12	0	0	0.0	0.0	75
C121479	2,4-dihydroxybenzophenone	14	13	0	0	0.0	0.0	76
