gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
AAK1	AAK1_HUMAN	Q2M2I8	0.254976	-0.074490	increase	decrease	FALSE	3	4	796	428	0.386100	0.670270
AAMDC	AAMDC_HUMAN	Q9H7C9	-0.441422	-0.321703	decrease	decrease	TRUE	3	3	1125	1121	0.132046	0.135135
ABCD1	ABCD1_HUMAN	P33897	0.332851	-0.071102	increase	decrease	FALSE	3	4	788	367	0.392278	0.717375
ABCD3	ABCD3_HUMAN	P28288	0.860884	-0.039974	increase	decrease	FALSE	3	3	715	106	0.448649	0.918919
ABCE1	ABCE1_HUMAN	P61221	-0.336404	-0.127548	decrease	decrease	TRUE	3	4	899	1043	0.306564	0.195367
ABCF1	ABCF1_HUMAN	Q8NE71	-0.603645	-0.022317	decrease	decrease	TRUE	3	4	669	1193	0.484170	0.079537
ABCF3	ABCF3_HUMAN	Q9NUQ8	0.555938	0.176818	increase	increase	TRUE	3	4	279	208	0.785328	0.840154
ACAD9	ACAD9_HUMAN	Q9H845	-0.473655	-0.334214	decrease	decrease	TRUE	3	4	1136	1141	0.123552	0.119691
ACADM	ACADM_HUMAN	P11310	-0.734152	-0.224057	decrease	decrease	TRUE	3	4	1035	1218	0.201544	0.060232
ACADS	ACADS_HUMAN	P16219	0.110343	0.123162	increase	increase	TRUE	3	4	376	581	0.710425	0.552124
ACAP2	ACAP2_HUMAN	Q15057	1.056267	-0.029429	increase	decrease	FALSE	3	4	682	62	0.474131	0.952896
ACLY	ACLY_HUMAN	P53396	0.346444	0.123427	increase	increase	TRUE	3	4	375	353	0.711197	0.728185
ACOT1	ACOT1_HUMAN	Q86TX2	-0.250890	0.334980	decrease	increase	FALSE	3	4	124	984	0.905019	0.240927
ACOT9	ACOT9_HUMAN	Q9Y305	-0.364576	0.060665	decrease	increase	FALSE	3	4	481	1061	0.629344	0.181467
