pmid,pmcid,gene_symbol,uniprot_entry,ctd_direction,compartment,readout,pbde47_fold_change,pbde100_fold_change,pbde153_fold_change,pbde209_fold_change,supplement_direction,direction_concordant,p_value_status,quantitative_status
31675489,PMC7024050,AARS1,SYAC_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,1.2,1.2,1.2,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,ARHGEF7,ARHG7_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.5,0.0,0.0,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,CASP1,CASP1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.0,0.0,0.0,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,CDK2,CDK2_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.4,0.3,0.9,0.9,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,CYP11A1,CP11A_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.6,1.0,0.8,0.8,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,FCN1,FCN1_HUMAN,increase,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,2.0,3.0,2.3,3.7,increase,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,FCN2,FCN2_HUMAN,increase,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,2.5,1.0,1.0,1.5,increase,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,FIS1,FIS1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.5,0.0,0.0,0.8,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,FNIP2,FNIP2_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.0,0.0,0.0,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,FUS,FUS_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.0,0.0,0.6,1.2,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,GFPT1,GFPT1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.8,0.8,0.9,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,GMPPB,GMPPB_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.8,0.9,1.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,IFIT1,IFIT1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.5,0.0,0.0,0.3,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,ILK,ILK_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.7,0.7,0.8,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,LGMN,LGMN_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.0,0.7,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,MARS1,SYMC_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.8,0.8,0.9,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,MGLL,MGLL_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.3,0.6,0.7,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,MMP19,MMP19_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.0,0.0,1.7,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,MMRN1,MMRN1_HUMAN,increase,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,2.0,1.5,0.0,2.0,increase,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,MX1,MX1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.6,1.3,1.5,1.6,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,MYO1E,MYO1E_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.0,2.0,0.0,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,NFKB1,NFKB1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.0,1.0,1.5,1.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,OAS3,OAS3_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.3,0.5,0.5,0.0,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,PARP14,PAR14_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.0,0.0,0.0,1.5,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,PCNA,PCNA_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.3,0.7,0.8,0.7,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,PGM3,AGM1_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.6,0.6,0.6,0.7,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
31675489,PMC7024050,PRKDC,PRKDC_HUMAN,decrease,placenta_derived_exosome_cargo,exosomal_protein_cargo_fold_change,0.7,0.7,0.7,0.8,decrease,True,not_provided_in_supplement_pdf,fold_change_extracted_significance_not_provided
