gene_symbol,exosome_pbde47_fold_change,exosome_direction,primary_functional_module,ctb_mrna_mean_log2_delta,ctb_mrna_direction,paired_model,paired_model_n_pairs,paired_model_p_value,paired_model_adj_p_value,paired_model_status
AARS1,0.7,decrease,metabolism_translation_glycosylation,0.07166666666666603,increase,donor_paired_exact_signflip_mean_delta,6,0.09375,0.7356861888111889,exact_signflip_bh_all_mapped_background
ARHGEF7,0.5,decrease,vesicle_trafficking_sorting,0.0,unchanged,donor_paired_exact_signflip_mean_delta,6,1.0,1.0,exact_signflip_bh_all_mapped_background
CASP1,0.0,decrease,immune_antiviral_inflammatory,0.2666666666666666,increase,donor_paired_exact_signflip_mean_delta,6,0.25,0.8448989835613,exact_signflip_bh_all_mapped_background
CDK2,0.4,decrease,cell_cycle_dna_repair,-0.0733333333333334,decrease,donor_paired_exact_signflip_mean_delta,6,0.21875,0.8409042249500428,exact_signflip_bh_all_mapped_background
CYP11A1,0.6,decrease,metabolism_translation_glycosylation,0.03333333333333336,increase,donor_paired_exact_signflip_mean_delta,6,0.46875,0.927091222030981,exact_signflip_bh_all_mapped_background
FCN1,2.0,increase,other,-0.12833333333333327,decrease,donor_paired_exact_signflip_mean_delta,6,0.3125,0.8734173931091739,exact_signflip_bh_all_mapped_background
FCN2,2.5,increase,other,0.09833333333333331,increase,donor_paired_exact_signflip_mean_delta,6,0.625,0.9604850213980028,exact_signflip_bh_all_mapped_background
FIS1,0.5,decrease,autophagy_stress_organelle,0.05500000000000016,increase,donor_paired_exact_signflip_mean_delta,6,0.21875,0.8409042249500428,exact_signflip_bh_all_mapped_background
FNIP2,0.0,decrease,autophagy_stress_organelle,0.31499999999999995,increase,donor_paired_exact_signflip_mean_delta,6,0.03125,0.6653162055335968,exact_signflip_bh_all_mapped_background
FUS,0.0,decrease,autophagy_stress_organelle,-0.08499999999999996,decrease,donor_paired_exact_signflip_mean_delta,6,0.125,0.7501114081996435,exact_signflip_bh_all_mapped_background
GFPT1,0.7,decrease,metabolism_translation_glycosylation,0.013333333333333938,increase,donor_paired_exact_signflip_mean_delta,6,0.8125,0.9896097141823444,exact_signflip_bh_all_mapped_background
GMPPB,0.7,decrease,metabolism_translation_glycosylation,0.08333333333333348,increase,donor_paired_exact_signflip_mean_delta,6,0.25,0.8448989835613,exact_signflip_bh_all_mapped_background
IFIT1,0.5,decrease,immune_antiviral_inflammatory,0.25,increase,donor_paired_exact_signflip_mean_delta,6,0.34375,0.8901374933897409,exact_signflip_bh_all_mapped_background
ILK,0.7,decrease,vesicle_trafficking_sorting,0.07333333333333296,increase,donor_paired_exact_signflip_mean_delta,6,0.125,0.7501114081996435,exact_signflip_bh_all_mapped_background
LGMN,0.7,decrease,autophagy_stress_organelle,-0.05166666666666675,decrease,donor_paired_exact_signflip_mean_delta,6,0.0625,0.6792776432606941,exact_signflip_bh_all_mapped_background
MARS1,0.7,decrease,metabolism_translation_glycosylation,0.11000000000000032,increase,donor_paired_exact_signflip_mean_delta,6,0.0625,0.6792776432606941,exact_signflip_bh_all_mapped_background
MGLL,0.3,decrease,metabolism_translation_glycosylation,-0.013333333333333345,decrease,donor_paired_exact_signflip_mean_delta,6,0.875,0.9965956187092955,exact_signflip_bh_all_mapped_background
MMP19,0.7,decrease,matrix_invasion_signaling,0.09833333333333345,increase,donor_paired_exact_signflip_mean_delta,6,0.15625,0.7974464657949593,exact_signflip_bh_all_mapped_background
MMRN1,2.0,increase,other,-0.07666666666666681,decrease,donor_paired_exact_signflip_mean_delta,6,0.53125,0.9429661240361168,exact_signflip_bh_all_mapped_background
MX1,0.6,decrease,immune_antiviral_inflammatory,0.29999999999999966,increase,donor_paired_exact_signflip_mean_delta,6,0.09375,0.7356861888111889,exact_signflip_bh_all_mapped_background
MYO1E,0.0,decrease,vesicle_trafficking_sorting,-0.1616666666666665,decrease,donor_paired_exact_signflip_mean_delta,6,0.03125,0.6653162055335968,exact_signflip_bh_all_mapped_background
NFKB1,0.0,decrease,immune_antiviral_inflammatory,-0.09999999999999935,decrease,donor_paired_exact_signflip_mean_delta,6,0.25,0.8448989835613,exact_signflip_bh_all_mapped_background
